id,datetime,tweets
486173049440329728,2014-07-07 15:41:02+00:00,Lawmakers propose tax-free zone for Konza tech city http://t.co/lB2TS2A3Es
486160113179164672,2014-07-07 14:49:38+00:00,@FT_ThisIsAfrica estimated cost and completion of Africa's giants tech cities Hope &amp; Konza:http://t.co/6h4nWajhBU http://t.co/srn34IJm5s
486126797671915520,2014-07-07 12:37:15+00:00,"@MauriceTherapy Hi Maurice, can i have a discussion with you. I am Lucas, 0726262679"
485859308505419776,2014-07-06 18:54:20+00:00,Kenya: Konza City in Sh2.2 Billion Deal With Tetra Tech for Smart city Development | @scoopit http://t.co/Y2EEmGpSBf
484949773783666688,2014-07-04 06:40:10+00:00,Tetra Tech Corp signed a Sh2.1 billion contract with the Kenya Govt to oversee the construction of Konza Techno City for five years.
484717758123225089,2014-07-03 15:18:13+00:00,My piece @FT_ThisIsAfrica on BN$ tech cities Hope&amp;Konza. Facts&amp;analysis on Africa's ICT giants:http://t.co/6h4nWajhBU http://t.co/t3wevMsZPL
484667123340300288,2014-07-03 11:57:01+00:00,Billion dollar tech cities Hope and Konza: Boon or bane to Africa’s... http://t.co/711OVpIcWw
484662306681278464,2014-07-03 11:37:53+00:00,#Ghana and #Kenya are committing billions of dollars to building tech capitals Hope and #Konza. http://t.co/SlqOfW7p4H
484652541951492097,2014-07-03 10:59:05+00:00,Billion dollar tech cities Hope and Konza: Boon or bane to Africa’s tech movement? http://t.co/sdSCg9eljV @FT_ThisIsAfrica
484649457494290432,2014-07-03 10:46:49+00:00,Billion dollar tech cities Hope and Konza: Boon or bane to Africa’s tech movement? - http://t.co/iuOF62SgEA
484272808587845633,2014-07-02 09:50:09+00:00,Konza City in Sh2.2 Billion Deal With Tetra Tech for Phase 1 Development http://t.co/Qddfntrmb5 #kenya via @allafrica
483957962709692416,2014-07-01 12:59:04+00:00,Konza City in Sh2.2 Billion Deal With Tetra Tech for Phase 1 Development http://t.co/NM3ueF82Fw #SmartCities
483940788661796864,2014-07-01 11:50:49+00:00,US firm secures Konza tech project http://t.co/qcsqLaTPbe
483938934796189696,2014-07-01 11:43:27+00:00,#WizzySY... US firm secures Konza tech project: Tetra Tech Incorporated has won the tender to prepare the firs... http://t.co/NFFaprxaJH
483938927099654145,2014-07-01 11:43:26+00:00,#WizzySY... US firm secures Konza tech project: Tetra Tech Incorporated has won the tender to prepare the firs... http://t.co/SDR0UKTPoF
483935595182702592,2014-07-01 11:30:11+00:00,US firm secures Konza tech project http://t.co/4s0405Oofc
483898205491322880,2014-07-01 09:01:37+00:00,#VOFNKenya | Konza City in Sh2.2 Billion Deal With Tetra Tech for Phase 1 Development http://t.co/mMeo2XbJ0q
483887509365989376,2014-07-01 08:19:07+00:00,Konza City in Sh2.2 Billion Deal With Tetra Tech for Phase 1 Development http://t.co/PESgHeD9jy
483822317785862144,2014-07-01 04:00:04+00:00,"#Konza Techno City News: 
An American company, Tetra Tech Incorporated, has been awarded the tender to lead a... http://t.co/zj3jPxBDUS"
483763690446286848,2014-07-01 00:07:06+00:00,News from CIO EA Konza City in Kshs 2.2 billion deal with Tetra Tech for Phase 1 development http://t.co/hgZrrQ3lvl
483674067606597632,2014-06-30 18:10:58+00:00,Godec can come out for Konza which makes no sense for tech (only real estate).  Quiet about violence and human rights abuse.US=Moral vacuum.
483557866595692544,2014-06-30 10:29:14+00:00,“@MumbiWarui: Will Konza City be up on its ground? Master Dev. Partner 2 signing ceremony underway @K24Tv http://t.co/wiN3NRsH60” Certainly!
