id,datetime,tweets
7654636177588224,2010-11-25 04:39:42+00:00,"The amazing Montmorency Waterfalls outside Quebec City, Canada is our location of the day http://fb.me/IXnSOk6m"
7414655118999552,2010-11-24 12:46:06+00:00,visitpanama - Tavida Waterfalls In Panama 30 Meter Water Fall: From Panama City take a Panama-Penonome  bus in t... http://bit.ly/gRua3N
7320586678173698,2010-11-24 06:32:18+00:00,"Removed the diaper sounding mattress pad, and then team T redressed the race car, city-scape, dinosaur, waterfall bedspread. #motel6 #ORtour"
7252727377698816,2010-11-24 02:02:39+00:00,Reporting live from Toilet City RT @nvendr: RT @trtm: The girl at the next cubicle has urine like a waterfall (sound wise duh)
7150118755106817,2010-11-23 19:14:55+00:00,GMLive Image of the Day: a peek inside a kaleidoscope: New York City waterfalls. But we also love one of his mor... http://bit.ly/e1GHfw
7148522767912960,2010-11-23 19:08:35+00:00,"what a lovely Christmas dinner @ HCF Waterfall tonight, what a wonderful God we serve together across our city! Immense privilege!"
7092545691582464,2010-11-23 15:26:09+00:00,Danish-Icelandic artist Olafur Eliasson became famous in the U.S. for his New York City waterfalls. But we also ... http://bit.ly/e0lEpC
7019262879203328,2010-11-23 10:34:57+00:00,@poynterlubz so beautiful! In my city has plenty of woods and waterfall. ONLY! hahaha
6967604644155394,2010-11-23 07:09:41+00:00,New York City Waterfalls project http://su.pr/2tp9TX
6937007515242496,2010-11-23 05:08:06+00:00,"@JeremyHawking YES! Iceland: Blue Lagoon, Gulfoss Waterfall. Reykjavik: Icelandic Fish and Chips, Prikid (city's first diner)"
6919320663760896,2010-11-23 03:57:49+00:00,New #Idea: Siege of Waterfall City (Viking Conquest) http://bit.ly/i0uAqS #ideawiki #wikia
6782181229731840,2010-11-22 18:52:52+00:00,the city of majestic waterfalls. http://t.co/yyaL0XW
6714906762027008,2010-11-22 14:25:33+00:00,"The city tree was lit Thursday night, the holiday light display is up at the waterfall at the corner of James and... http://fb.me/C9nagGPF"
6683441554784256,2010-11-22 12:20:31+00:00,Fast facts about the City of Waterfalls http://bit.ly/c6uzTP
6411874904051712,2010-11-21 18:21:24+00:00,Britain's Favourite Cities Survey — the Results are In ...: Waterfall Spa is a ladies' only luxury Day Spa in Le... http://bit.ly/cwbKgV
6349446619070465,2010-11-21 14:13:20+00:00,"#free New York City Free Dresser - Curb Alert (Shelton): Free Dresser, 1930's Art Deco ""Waterfall"" style with cu... http://bit.ly/dnQqBm"
6117828440621056,2010-11-20 22:52:58+00:00,@tiersespace WATERFALL at the Saint John City Market http://thirdspacegallery.ca/
5957488130138112,2010-11-20 12:15:50+00:00,Waterfall garden -laguna center (pakuwon city)
5635810938322945,2010-11-19 14:57:36+00:00,Relax by the mini-waterfall at the Island City House in Old Town Key West.. http://fb.me/Lxx0TPtj
