id,datetime,username,tweets,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
487738510527303680,2014-07-11 23:21:37+00:00,NBXcotedivoire,"""Billion dollar tech cities – Ghana’s Hope and Kenya’s Konza Techno: Boon or bane to... http://t.co/pDxKl7rBqv http://t.co/dmK8Td2iFy""",0.4404,Positive,1,1,1,1,1,0,1,1
487626876295213056,2014-07-11 15:58:01+00:00,Abakwagirl,"""Are billion dollar #tech cities like Konza in #Kenya &amp; Hope City in #Ghana a boon or bane to Africa’s tech movement? http://t.co/WCKy37lJ4o?""",0.6966,Positive,1,1,1,1,1,0,1,1
486583001506410496,2014-07-08 18:50:02+00:00,ELReports,"""Kenya is aiming at building a technology focused city to be called Konza City. The city is planned to be a tech... http://t.co/kFQfR5A5Y4""",0.3818,Positive,0,1,0,0,0,0,0,0
485859308505419776,2014-07-06 18:54:20+00:00,AyonaDatta,"""Kenya: Konza City in Sh2.2 Billion Deal With Tetra Tech for Smart city Development | @scoopit http://t.co/Y2EEmGpSBf""",0.4019,Positive,0,2,0,0,1,0,1,1
484662306681278464,2014-07-03 11:37:53+00:00,neildrewitt,"""#Ghana and #Kenya are committing billions of dollars to building tech capitals Hope and #Konza. http://t.co/SlqOfW7p4H""",0.4939,Positive,0,1,0,0,1,0,1,1
484272808587845633,2014-07-02 09:50:09+00:00,DotAfrica_tv,"""Konza City in Sh2.2 Billion Deal With Tetra Tech for Phase 1 Development http://t.co/Qddfntrmb5 #kenya via @allafrica""",0.0,Neutral,0,2,0,0,1,0,1,1
483887509365989376,2014-07-01 08:19:07+00:00,kenya_travels,"""Konza City in Sh2.2 Billion Deal With Tetra Tech for Phase 1 Development http://t.co/PESgHeD9jy""",0.0,Neutral,0,2,0,0,1,0,1,1
481069442810781696,2014-06-23 13:41:07+00:00,africatechie,"""Construction of Kenya's Konza tech city challenged in court  http://t.co/S2hULrddvB""",-0.1027,Negative,1,1,0,1,0,0,0,0
479607240530604033,2014-06-19 12:50:51+00:00,padbor,"""#gounna_kenya An artists impression of the Konza Tech CityFor a good seven years now, it has been fashionable to... http://t.co/GGtUiKkwJO""",0.5859,Positive,0,1,0,0,1,0,1,1
465131117595873280,2014-05-10 14:07:54+00:00,serugo,"""Just watched a feature on Kenya's Konza Tech City on @cnbcafrica. Now there's a forward-thinking gov't. Time to launch a Digital Party.""",0.0,Neutral,0,3,0,1,0,0,0,1
